	z	a	q	v	f	r	x	s	w	c	d	e	n	h	y	t	b	g
z	1.1966719899625091	-1.0648190376714126	-2.6038971270068987	-0.7089030343066628	-2.724069903185769	-3.5370014046169125	-1.92506094468562	-0.40925371772018465	0.5340669816828783	-1.1534830617475742	-0.42877768691117424	-1.317164044466032	-0.889213033423124	-0.4499794214291051	-0.5059234347959917	-1.4262396455679534	-0.5082432705591763	-0.6645848820109684
a	-1.0648190376714126	2.313914034308317	-0.39286046123138524	-1.0797775501185964	-0.9202639880764248	-2.888886962599598	-1.9470886447747946	-2.281508429336106	-1.141778419615076	-1.711057297162173	-1.5847937360823519	-2.3235172149233976	-0.8390058593403726	-0.8652246070465645	-0.3935896404418683	-2.5644140912302835	-0.40956686362757116	-0.3906275880172203
q	-2.6038971270068987	-0.39286046123138524	4.802861559764886	-2.56346141791379	-3.0472647133888264	-0.7742722390315477	-3.536082074970918	-4.0262469611434035	-3.0492278665508334	-2.854635809031936	-3.3594449390844874	-4.439594274442103	-1.9784017396705864	-2.678353982823236	-1.756678943161809	-3.8703533407992836	-0.5442215201383837	-1.3911072743160973
v	-0.7089030343066628	-1.0797775501185964	-2.56346141791379	3.8202565755003732	0.5321849107141103	-0.00254617516874362	-1.6792491332461628	-2.1127747293962558	-2.4416018343062054	-1.324842738712386	-1.4973933989853052	-2.241294837374664	1.2478132599584553	1.2800927385222463	1.2729553056263558	-0.6921330151859325	-0.44455401055959026	1.2922318035069846
f	-2.724069903185769	-0.9202639880764248	-3.0472647133888264	0.5321849107141103	3.3024887889288466	0.25558279285106156	-3.290355421536948	-3.654173952217943	-4.299818246216126	-2.9277647832400726	-3.5832809208954277	-4.46636215499587	-0.33389931159284353	-0.6575616235444568	-0.6129240833423293	-2.0094871687725173	-1.893510587552345	1.2437890349215492
r	-3.5370014046169125	-2.888886962599598	-0.7742722390315477	-0.00254617516874362	0.25558279285106156	5.3741208776445415	-3.428442259335896	-3.5488336034224153	-5.078049699117943	-3.595291463411134	-3.9682384910586723	-5.221151961517915	0.511166417274022	-0.011329847865327711	0.7698484461821336	-3.2586987029487875	-2.692333069858721	1.8282967936618377
x	-1.92506094468562	-1.9470886447747946	-3.536082074970918	-1.6792491332461628	-3.290355421536948	-3.428442259335896	2.6919145966260807	0.08966577920746333	-0.833440003142332	-1.308570322444446	-0.9853711103027197	-1.3118443807022293	0.09785724106707719	-0.10467844094057187	-0.04160216220559853	-2.7922212317040405	-0.746430540556212	-0.861475483604229
s	-0.40925371772018465	-2.281508429336106	-4.0262469611434035	-2.1127747293962558	-3.654173952217943	-3.5488336034224153	0.08966577920746333	4.998165621659878	2.0042720473695264	-1.1226909391896807	-0.7998223540883367	-1.9589020312275944	-0.4637503897719092	-0.10922707286133071	0.9723505956296672	-1.8488246341817747	-0.753127803956135	-1.3290671314935278
w	0.5340669816828783	-1.141778419615076	-3.0492278665508334	-2.4416018343062054	-4.299818246216126	-5.078049699117943	-0.833440003142332	2.0042720473695264	6.256259078942936	0.5948809581014741	1.0785631754602465	-0.4863627943032397	-1.137104448332444	-0.7318074756152447	1.5631832677348318	-0.3500249937225855	-0.1212459170011397	-2.2323347516671985
c	-1.1534830617475742	-1.711057297162173	-2.854635809031936	-1.324842738712386	-2.9277647832400726	-3.595291463411134	-1.308570322444446	-1.1226909391896807	0.5948809581014741	3.465602867024086	1.3595324893261744	-0.524214795096409	0.4644875306183875	1.1100297828004215	0.28176572471988826	-1.5278205852985416	0.5104598369493603	-0.4842131383687831
d	-0.42877768691117424	-1.5847937360823519	-3.3594449390844874	-1.4973933989853052	-3.5832809208954277	-3.9682384910586723	-0.9853711103027197	-0.7998223540883367	1.0785631754602465	1.3595324893261744	5.915394085494308	0.5883379691395072	-0.3266363721472468	1.5419858102901778	0.17282025929440845	-1.377590151416709	-0.10870717554787432	-1.021680926151832
e	-1.317164044466032	-2.3235172149233976	-4.439594274442103	-2.241294837374664	-4.46636215499587	-5.221151961517915	-1.3118443807022293	-1.9589020312275944	-0.4863627943032397	-0.524214795096409	0.5883379691395072	7.259979442532523	-1.3072556404050397	-0.5642991622952795	-0.40338595384424003	-2.015648611287654	-0.3370679312162023	-1.6331060528803465
n	-0.889213033423124	-0.8390058593403726	-1.9784017396705864	1.2478132599584553	-0.33389931159284353	0.511166417274022	0.09785724106707719	-0.4637503897719092	-1.137104448332444	0.4644875306183875	-0.3266363721472468	-1.3072556404050397	5.886098254304222	3.5952713065893525	2.9395573461962026	-0.3803001656456247	-0.0666116375243832	2.300551213278328
h	-0.4499794214291051	-0.8652246070465645	-2.678353982823236	1.2800927385222463	-0.6575616235444568	-0.011329847865327711	-0.10467844094057187	-0.10922707286133071	-0.7318074756152447	1.1100297828004215	1.5419858102901778	-0.5642991622952795	3.5952713065893525	6.352612468522658	3.459792576923676	-0.0862440945489096	0.22873739177295524	1.810582238532372
y	-0.5059234347959917	-0.3935896404418683	-1.756678943161809	1.2729553056263558	-0.6129240833423293	0.7698484461821336	-0.04160216220559853	0.9723505956296672	1.5631832677348318	0.28176572471988826	0.17282025929440845	-0.40338595384424003	2.9395573461962026	3.459792576923676	8.301215853602704	0.08518951004243532	0.06422763138815486	1.7031198182035954
t	-1.4262396455679534	-2.5644140912302835	-3.8703533407992836	-0.6921330151859325	-2.0094871687725173	-3.2586987029487875	-2.7922212317040405	-1.8488246341817747	-0.3500249937225855	-1.5278205852985416	-1.377590151416709	-2.015648611287654	-0.3803001656456247	-0.0862440945489096	0.08518951004243532	2.193735173187947	-0.9719814623073115	-0.47500103269564303
b	-0.5082432705591763	-0.40956686362757116	-0.5442215201383837	-0.44455401055959026	-1.893510587552345	-2.692333069858721	-0.746430540556212	-0.753127803956135	-0.1212459170011397	0.5104598369493603	-0.10870717554787432	-0.3370679312162023	-0.0666116375243832	0.22873739177295524	0.06422763138815486	-0.9719814623073115	4.919939754981182	0.7116152454494576
g	-0.6645848820109684	-0.3906275880172203	-1.3911072743160973	1.2922318035069846	1.2437890349215492	1.8282967936618377	-0.861475483604229	-1.3290671314935278	-2.2323347516671985	-0.4842131383687831	-1.021680926151832	-1.6331060528803465	2.300551213278328	1.810582238532372	1.7031198182035954	-0.47500103269564303	0.7116152454494576	5.587397494623286
